topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
ClimateChange,ER_RC,0,Jan,93,385,31,129,0.8001,0.6522,768,14.97
ClimateChange,ER_R,9,Jan,93,269,31,90,0.6233,0.5224,768,15.51
ClimateChange,ER_R,2,Jan,93,269,31,90,0.6139,0.6247,768,15.80
ClimateChange,ER_R,5,Jan,93,269,31,90,0.6171,0.5496,768,16.30
ClimateChange,ER_R,6,Jan,93,269,31,90,0.6288,0.6075,768,16.36
ClimateChange,ER_R,8,Jan,93,269,31,90,0.61,0.4996,768,16.50
ClimateChange,ER_R,7,Jan,93,269,31,90,0.5926,0.6842,768,17.45
ClimateChange,ER_R,3,Jan,93,269,31,90,0.5927,0.6536,768,18.04
ClimateChange,ER_R,0,Jan,93,269,31,90,0.5724,0.5975,768,18.29
ClimateChange,ER_R,1,Jan,93,269,31,90,0.6043,0.6086,768,18.39
ClimateChange,ER_R,4,Jan,93,269,31,90,0.6277,0.6147,768,18.69
ClimateChange,ER_LC,1,Jan,93,1507,31,503,0.6985,0.7645,768,6.38
ClimateChange,ER_LC,0,Jan,93,1507,31,503,0.7763,0.6677,768,7.40
ClimateChange,ER_RC,5,Jan,93,385,31,129,0.7528,0.7444,768,13.89
ClimateChange,ER_RC,1,Jan,93,385,31,129,0.7595,0.7799,768,15.33
ClimateChange,ER_RC,4,Jan,93,385,31,129,0.7712,0.7283,768,14.11
ClimateChange,ER_RC,2,Jan,93,385,31,129,0.7251,0.7361,768,15.31
ClimateChange,ER_LC,3,Jan,93,1507,31,503,0.7166,0.7989,768,6.18
ClimateChange,ER_RC,6,Jan,93,385,31,129,0.7687,0.7799,768,15.48
ClimateChange,ER_LC,2,Jan,93,1507,31,503,0.7306,0.7193,768,7.23
ClimateChange,ER_RC,9,Jan,93,385,31,129,0.7631,0.7438,768,14.22
ClimateChange,ER_RC,3,Jan,93,385,31,129,0.7305,0.8083,768,16.96
ClimateChange,ER_RC,8,Jan,93,385,31,129,0.7881,0.7889,768,15.27
ClimateChange,ER_RC,7,Jan,93,385,31,129,0.7537,0.7683,768,16.11
ClimateChange,ER_LC,4,Jan,93,1507,31,503,0.7524,0.6838,768,6.24
ClimateChange,ER_LC,5,Jan,93,1507,31,503,0.7265,0.6888,768,6.31
ClimateChange,ER_LC,6,Jan,93,1507,31,503,0.7417,0.7533,768,7.00
ClimateChange,ER_LC,7,Jan,93,1507,31,503,0.7326,0.8039,768,6.95
ClimateChange,ER_LC,9,Jan,93,1507,31,503,0.7312,0.6707,768,6.45
ClimateChange,ER_LC,8,Jan,93,1507,31,503,0.7204,0.7776,768,7.14
ClimateChange,ER_L,2,Jan,93,467,31,156,0.6882,0.6747,768,21.73
ClimateChange,ER_L,0,Jan,93,467,31,156,0.6578,0.6809,768,22.77
ClimateChange,ER_L,3,Jan,93,467,31,156,0.7013,0.7102,768,22.49
ClimateChange,ER_L,1,Jan,93,467,31,156,0.6512,0.694,768,23.47
ClimateChange,ER_L,4,Jan,93,467,31,156,0.6801,0.7069,768,23.86
ClimateChange,ER_L,5,Jan,93,467,31,156,0.6589,0.6521,768,23.82
ClimateChange,ER_L,8,Jan,93,467,31,156,0.6939,0.7198,768,22.67
ClimateChange,ER_L,7,Jan,93,467,31,156,0.6482,0.7198,768,23.36
ClimateChange,ER_L,6,Jan,93,467,31,156,0.6675,0.6618,768,24.80
ClimateChange,ER_L,9,Jan,93,467,31,156,0.6637,0.6394,768,23.80
ClimateChange,R_RC,0,Jan,269,385,90,129,0.6482,0.6052,768,35.66
ClimateChange,C_ER,0,Jan,523,93,175,31,0.8439,0.7389,768,17.63
ClimateChange,C_ER,1,Jan,523,93,175,31,0.7843,0.8214,768,17.32
ClimateChange,R_RC,1,Jan,269,385,90,129,0.6519,0.665,768,38.27
ClimateChange,R_RC,2,Jan,269,385,90,129,0.6738,0.6322,768,39.70
ClimateChange,R_RC,3,Jan,269,385,90,129,0.654,0.6421,768,39.30
